Feature,Importance Score,Rank
BP _Systolic (mmHg),60.0,1
Hair loss(Y/N),2.2421007536643724,2
Pimples(Y/N),1.7852277181864042,3
Cycle(R/I),1.630063830302689,4
Fast food (Y/N),1.4699452069329944,5
hair growth(Y/N),1.0361255664104458,6
Follicle No. (L),0.8109570213474702,7
Reg.Exercise(Y/N),0.37330366135733745,8
Pregnant(Y/N),0.3635547833388032,9
Follicle No. (R),0.33717250428728684,10
Hip(inch),0.09258105371614483,11
Cycle length(days),0.0763889264718689,12
Skin darkening (Y/N),0.07594615387008609,13
Weight gain(Y/N),0.01744699548777824,14
