Feature,Importance Score,Rank
Waist:Hip Ratio,60.0,1
FSH/LH,55.0,2
Hip(inch),8.569515884034674,3
Cycle(R/I),7.6354343072548065,4
hair growth(Y/N),5.649897674787665,5
Hair loss(Y/N),2.9526583992061184,6
BMI,2.656557330739561,7
 Age (yrs),1.8193760879270497,8
Pregnant(Y/N),1.6381700411492006,9
Weight (Kg),1.42663767747634,10
Blood Group,1.1837900898479259,11
Pimples(Y/N),1.006046019703749,12
Height(Cm) ,0.7892305501870508,13
Cycle length(days),0.720707231729458,14
Reg.Exercise(Y/N),0.6391834056387667,15
Follicle No. (L),0.5580471558945809,16
BP _Diastolic (mmHg),0.4927119929693573,17
RR (breaths/min),0.3892812394922387,18
Marraige Status (Yrs),0.26297490238408755,19
Follicle No. (R),0.2288979096070195,20
Weight gain(Y/N),0.22630075203424455,21
Pulse rate(bpm) ,0.1525269466466923,22
Waist(inch),0.13192789132849161,23
Skin darkening (Y/N),0.0843141389295273,24
No. of aborptions,0.07843231338476732,25
Fast food (Y/N),0.03866743755121387,26
BP _Systolic (mmHg),0.014446975355333753,27
LH(mIU/mL),0.007024633027733439,28
