Feature,Importance Score,Rank,Fold
No. of aborptions,60.0,1,1
Marraige Status (Yrs),5.641561328931318,2,1
Weight (Kg),5.611120048934558,3,1
 Age (yrs),4.420300119940595,4,1
Waist(inch),3.956708638504579,5,1
PRG(ng/mL),3.5748648873469677,6,1
Hip(inch),3.448503166189985,7,1
hair growth(Y/N),1.9034810319884776,8,1
Weight gain(Y/N),1.763302752293576,9,1
Skin darkening (Y/N),1.5718158243170184,10,1
BMI,1.3177741904713947,11,1
Pimples(Y/N),1.1918994209136085,12,1
PRL(ng/mL),0.8850483521314714,13,1
Fast food (Y/N),0.6499440337492159,14,1
Vit D3 (ng/mL),0.642078490155587,15,1
  I   beta-HCG(mIU/mL),0.5702105739015996,16,1
Follicle No. (L),0.5231301807666551,17,1
Cycle length(days),0.4160479813780913,18,1
Endometrium (mm),0.2958301684538275,19,1
Avg. F size (L) (mm),0.29173759489015255,20,1
RBS(mg/dl),0.2884889052307147,21,1
RR (breaths/min),0.15300341130867223,22,1
FSH/LH,0.13581533119944805,23,1
Follicle No. (R),0.05246928061338556,24,1
LH(mIU/mL),0.036388539862445106,25,1
Hair loss(Y/N),0.027993151483538436,26,1
FSH(mIU/mL),0.013284945180876386,27,1
Cycle(R/I),0.0028485725454150917,28,1
No. of aborptions,60.0,1,2
 Age (yrs),10.000704124962791,2,2
Marraige Status (Yrs),6.655154634155347,3,2
Follicle No. (R),5.230120256475694,4,2
FSH(mIU/mL),4.909411384126112,5,2
Follicle No. (L),4.80071174540311,6,2
Weight gain(Y/N),4.1299178056889545,7,2
Cycle(R/I),2.519859127372332,8,2
PRG(ng/mL),1.7404102144384002,9,2
Skin darkening (Y/N),1.1560623733221156,10,2
BMI,0.9775314040538953,11,2
LH(mIU/mL),0.7332241153591954,12,2
PRL(ng/mL),0.712099852120444,13,2
Avg. F size (L) (mm),0.41886471036596157,14,2
hair growth(Y/N),0.3997844827586207,15,2
RR (breaths/min),0.3503592849071385,16,2
RBS(mg/dl),0.3444996720964086,17,2
  I   beta-HCG(mIU/mL),0.24271432952424585,18,2
Fast food (Y/N),0.15267582792762036,19,2
Cycle length(days),0.1498609455208839,20,2
Vit D3 (ng/mL),0.10424463720276088,21,2
Weight (Kg),0.10110472846988797,22,2
Hair loss(Y/N),0.09884986011812248,23,2
Waist(inch),0.0951649858873159,24,2
Hip(inch),0.07504168060458516,25,2
Endometrium (mm),0.04484564717379608,26,2
FSH/LH,0.032359548182273844,27,2
Pimples(Y/N),0.024390243902439032,28,2
No. of aborptions,60.0,1,3
 Age (yrs),5.010684814174685,2,3
Pimples(Y/N),4.284569726492711,3,3
Fast food (Y/N),2.4699189785396634,4,3
Hair loss(Y/N),1.9463733752768175,5,3
Follicle No. (L),1.584281964493564,6,3
FSH/LH,1.4827688434048005,7,3
Cycle length(days),1.1983242852666942,8,3
Weight (Kg),0.8527793990419608,9,3
Endometrium (mm),0.8491701603303479,10,3
Hip(inch),0.8079010536928817,11,3
hair growth(Y/N),0.7555136291610398,12,3
Weight gain(Y/N),0.7129858414715453,13,3
Cycle(R/I),0.6351049905056868,14,3
Marraige Status (Yrs),0.5398551766563854,15,3
RR (breaths/min),0.4186514765608857,16,3
Skin darkening (Y/N),0.4063537692143892,17,3
Avg. F size (L) (mm),0.18410982043799334,18,3
FSH(mIU/mL),0.13209064495683204,19,3
RBS(mg/dl),0.11096816903530321,20,3
LH(mIU/mL),0.07918271649833233,21,3
  I   beta-HCG(mIU/mL),0.0770337318234368,22,3
PRL(ng/mL),0.054969398954384165,23,3
Vit D3 (ng/mL),0.04208285743654624,24,3
Follicle No. (R),0.024332233450385266,25,3
BMI,0.00804462670476879,26,3
PRG(ng/mL),0.0066458734247290905,27,3
Waist(inch),0.004317623601618418,28,3
No. of aborptions,60.0,1,4
Marraige Status (Yrs),22.368211774358834,2,4
 Age (yrs),8.175252649857507,3,4
RR (breaths/min),5.406715082961746,4,4
Weight (Kg),3.2986216932165884,5,4
Waist(inch),3.2690138881216417,6,4
BMI,2.278964800820277,7,4
Follicle No. (L),1.9697373917386807,8,4
Hip(inch),1.6751142996858894,9,4
Follicle No. (R),1.472412665432953,10,4
RBS(mg/dl),1.093519915425446,11,4
Weight gain(Y/N),1.0319198726949357,12,4
Fast food (Y/N),1.0269106566200215,13,4
Pimples(Y/N),0.8819398683413533,14,4
  I   beta-HCG(mIU/mL),0.8755011906457623,15,4
PRL(ng/mL),0.7649147368447193,16,4
Vit D3 (ng/mL),0.7614841387287689,17,4
hair growth(Y/N),0.7562442599974302,18,4
Avg. F size (L) (mm),0.6016288205949297,19,4
FSH/LH,0.40109284738791895,20,4
Cycle(R/I),0.34969973452923986,21,4
Hair loss(Y/N),0.2615831575362275,22,4
PRG(ng/mL),0.2195310798183245,23,4
LH(mIU/mL),0.20985741242017522,24,4
Endometrium (mm),0.18249905992634075,25,4
FSH(mIU/mL),0.13186597556284246,26,4
Cycle length(days),0.10248382864114536,27,4
Skin darkening (Y/N),0.006954696060099077,28,4
Marraige Status (Yrs),9.880829408241672,1,5
  I   beta-HCG(mIU/mL),8.611608980781684,2,5
Weight gain(Y/N),5.8433294036742325,3,5
RBS(mg/dl),5.384557705217942,4,5
FSH(mIU/mL),3.3680062922847456,5,5
 Age (yrs),2.6875206243908956,6,5
Weight (Kg),1.8708393962074374,7,5
Endometrium (mm),1.8422145001186132,8,5
RR (breaths/min),1.4575183295101735,9,5
Hair loss(Y/N),1.310720107204291,10,5
PRL(ng/mL),1.1534491027971272,11,5
LH(mIU/mL),0.9867123567092089,12,5
Follicle No. (R),0.5400223016202825,13,5
PRG(ng/mL),0.2840829445428084,14,5
hair growth(Y/N),0.2707627716177454,15,5
Avg. F size (L) (mm),0.24349441359898527,16,5
FSH/LH,0.224626386685576,17,5
BMI,0.175915995341669,18,5
Vit D3 (ng/mL),0.1693316860252979,19,5
Cycle length(days),0.16645183484086354,20,5
Cycle(R/I),0.10867615019864232,21,5
Pimples(Y/N),0.07640833519877109,22,5
Waist(inch),0.0695160912468481,23,5
Hip(inch),0.06616294985389662,24,5
Skin darkening (Y/N),0.057354070283266625,25,5
Follicle No. (L),0.018575967424070052,26,5
Fast food (Y/N),0.0018641269519695566,27,5
No. of aborptions,-2.3869078025063638e+17,28,5
