Feature,Importance Score,Rank,Fold
Follicle No. (R),53.042447235531135,1,1
hair growth(Y/N),44.00873217641208,2,1
Follicle No. (L),43.30061885818635,3,1
Fast food (Y/N),33.70438935193305,4,1
Hair loss(Y/N),28.07969686160725,5,1
Weight gain(Y/N),26.690400401495534,6,1
Skin darkening (Y/N),24.093363399132585,7,1
Cycle(R/I),21.80330897216609,8,1
Pimples(Y/N),10.898515319512617,9,1
Hip(inch),9.132815695448592,10,1
Waist(inch),8.143971199722355,11,1
Weight (Kg),5.826420221178419,12,1
FSH/LH,2.7212781751352586,13,1
Vit D3 (ng/mL),2.552679712201299,14,1
FSH(mIU/mL),2.1312416243872825,15,1
 Age (yrs),1.49270627517716,16,1
Marraige Status (Yrs),1.427085127146214,17,1
Reg.Exercise(Y/N),0.9482721948867745,18,1
RR (breaths/min),0.9314875243130809,19,1
Cycle length(days),0.7015611973848315,20,1
LH(mIU/mL),0.006191241993047266,21,1
Follicle No. (R),60.0,1,2
Follicle No. (L),55.0,2,2
hair growth(Y/N),41.28244005641752,3,2
Cycle(R/I),29.574655820712195,4,2
Skin darkening (Y/N),29.331275021275054,5,2
Fast food (Y/N),18.348890641410765,6,2
Weight gain(Y/N),16.75147213200801,7,2
Vit D3 (ng/mL),11.381677418374407,8,2
Pimples(Y/N),9.929225645295599,9,2
Cycle length(days),6.558852469764013,10,2
Weight (Kg),4.725876445831022,11,2
LH(mIU/mL),4.64049446987522,12,2
FSH(mIU/mL),4.381240627718093,13,2
Marraige Status (Yrs),1.4712386361971186,14,2
 Age (yrs),1.2753266479664478,15,2
Waist(inch),0.926680229242241,16,2
Hip(inch),0.25620588302943814,17,2
FSH/LH,0.10062072336659898,18,2
Hair loss(Y/N),0.05046177282681154,19,2
Reg.Exercise(Y/N),0.028423498094104223,20,2
RR (breaths/min),4.690248884082242e-06,21,2
Follicle No. (R),60.0,1,3
Follicle No. (L),55.0,2,3
Weight gain(Y/N),49.40824251534508,3,3
Skin darkening (Y/N),40.41040602966203,4,3
Cycle(R/I),17.702137869202303,5,3
Hip(inch),13.236840268095127,6,3
Waist(inch),12.656330682598021,7,3
Fast food (Y/N),12.147649668511038,8,3
Pimples(Y/N),11.470236308702011,9,3
 Age (yrs),8.958576591604073,10,3
hair growth(Y/N),7.936179616370541,11,3
Marraige Status (Yrs),6.623261735539398,12,3
Weight (Kg),5.749262162280829,13,3
Cycle length(days),5.133526384223247,14,3
RR (breaths/min),2.9133477541672126,15,3
FSH/LH,2.4062126642771697,16,3
Hair loss(Y/N),1.80888039796587,17,3
LH(mIU/mL),0.9029054008663451,18,3
Vit D3 (ng/mL),0.6993107248140816,19,3
FSH(mIU/mL),0.4384548317803922,20,3
Reg.Exercise(Y/N),0.17292939098545188,21,3
Follicle No. (R),60.0,1,4
Follicle No. (L),55.0,2,4
hair growth(Y/N),58.50182576943131,3,4
Fast food (Y/N),22.94454382826475,4,4
Weight gain(Y/N),18.049822719528468,5,4
Skin darkening (Y/N),13.645547639112335,6,4
Cycle(R/I),10.985163910320209,7,4
Pimples(Y/N),5.714938292931038,8,4
Marraige Status (Yrs),4.226131173296001,9,4
 Age (yrs),4.098938040039262,10,4
Weight (Kg),3.756613243072386,11,4
RR (breaths/min),2.7429023184815744,12,4
Cycle length(days),2.308914778936423,13,4
LH(mIU/mL),1.7309664816695873,14,4
Hair loss(Y/N),1.6845285001313375,15,4
Waist(inch),0.8528422990646721,16,4
FSH(mIU/mL),0.562470398517366,17,4
Vit D3 (ng/mL),0.500430119387997,18,4
FSH/LH,0.45761666283636226,19,4
Hip(inch),0.4341873411297556,20,4
Reg.Exercise(Y/N),0.19167554651425697,21,4
Follicle No. (R),60.0,1,5
Skin darkening (Y/N),55.0,2,5
Follicle No. (L),56.48437822248827,3,5
Cycle(R/I),28.18901098901105,4,5
Weight gain(Y/N),27.376228775692624,5,5
hair growth(Y/N),20.368627450980412,6,5
Fast food (Y/N),10.58999055712938,7,5
Pimples(Y/N),9.607490636704124,8,5
Weight (Kg),6.217939303221129,9,5
Cycle length(days),5.65003885003882,10,5
Reg.Exercise(Y/N),3.925925925925928,11,5
Marraige Status (Yrs),3.4869771112865022,12,5
FSH(mIU/mL),2.9544019768054066,13,5
 Age (yrs),2.7878655073733905,14,5
LH(mIU/mL),2.158919185075066,15,5
Vit D3 (ng/mL),1.9539764522789795,16,5
Hair loss(Y/N),1.8596491228070193,17,5
Hip(inch),1.7703375674210768,18,5
FSH/LH,1.7188484651202527,19,5
Waist(inch),1.137697447329392,20,5
RR (breaths/min),0.7030213706706206,21,5
