Feature,Importance Score,Rank,Fold
TSH (mIU/L),60.0,1,1
Cycle length(days),3.8089253982072426,2,1
Waist(inch),3.216667939214826,3,1
 Age (yrs),2.4604357024755084,4,1
Marraige Status (Yrs),2.0490752508673364,5,1
Follicle No. (R),1.7468825820133904,6,1
No. of aborptions,1.3074822110904871,7,1
Weight (Kg),1.2042111223413536,8,1
BP _Systolic (mmHg),1.1744651812969134,9,1
Hip(inch),1.0137498018782791,10,1
Cycle(R/I),0.964760218557619,11,1
Pregnant(Y/N),0.6712131624720193,12,1
RR (breaths/min),0.48092949842778016,13,1
Blood Group,0.4568944575833739,14,1
Skin darkening (Y/N),0.3606788691836523,15,1
Avg. F size (R) (mm),0.1923847945048547,16,1
LH(mIU/mL),0.17161875090272008,17,1
FSH/LH,0.16149518584392356,18,1
Fast food (Y/N),0.15463876951517994,19,1
Pimples(Y/N),0.15063747048786216,20,1
BP _Diastolic (mmHg),0.1394214513732488,21,1
Weight gain(Y/N),0.11338378720809153,22,1
Hair loss(Y/N),0.07474372951227831,23,1
  I   beta-HCG(mIU/mL),0.06981570981273849,24,1
FSH(mIU/mL),0.050591016444645844,25,1
Vit D3 (ng/mL),0.04356093774098308,26,1
BMI,0.018460909972891994,27,1
Reg.Exercise(Y/N),0.012273359880200984,28,1
Height(Cm) ,0.008178416806101589,29,1
Waist:Hip Ratio,0.005426870175611607,30,1
Follicle No. (L),0.004005906886220426,31,1
Pulse rate(bpm) ,0.0037054533642880334,32,1
hair growth(Y/N),0.00025315967173034423,33,1
TSH (mIU/L),60.0,1,2
Avg. F size (R) (mm),4.952495742008422,2,2
Pulse rate(bpm) ,2.960331107287967,3,2
Weight (Kg),2.53056851319451,4,2
BMI,2.1280993050209167,5,2
Follicle No. (L),2.027810441281141,6,2
Blood Group,1.7482440389095502,7,2
BP _Systolic (mmHg),1.5145085742214675,8,2
Hip(inch),1.4080331488811877,9,2
Pregnant(Y/N),1.3291293345101907,10,2
No. of aborptions,1.1482501131380123,11,2
Reg.Exercise(Y/N),1.1224410483598977,12,2
Skin darkening (Y/N),1.009178663367442,13,2
Marraige Status (Yrs),0.8782017408087947,14,2
Fast food (Y/N),0.8760783787696869,15,2
BP _Diastolic (mmHg),0.8253836875113246,16,2
Vit D3 (ng/mL),0.7880312724718919,17,2
Cycle length(days),0.6202930449442053,18,2
RR (breaths/min),0.5973705867520399,19,2
Follicle No. (R),0.5001018652997411,20,2
Hair loss(Y/N),0.3773448298947549,21,2
  I   beta-HCG(mIU/mL),0.2720759267943264,22,2
LH(mIU/mL),0.24886593953572692,23,2
Pimples(Y/N),0.20495433419239714,24,2
Waist(inch),0.13299669696386035,25,2
Cycle(R/I),0.07854342807451282,26,2
Waist:Hip Ratio,0.07532944008309868,27,2
 Age (yrs),0.05763559285547791,28,2
FSH/LH,0.03508959636251519,29,2
Weight gain(Y/N),0.020208319091937932,30,2
hair growth(Y/N),0.012775486961167776,31,2
FSH(mIU/mL),0.011137697694881557,32,2
Height(Cm) ,1.0601836320888475e-05,33,2
TSH (mIU/L),60.0,1,3
RR (breaths/min),4.464100210168015,2,3
Follicle No. (L),4.079439678646082,3,3
Avg. F size (R) (mm),2.847216951484524,4,3
Pimples(Y/N),2.7602080507210642,5,3
Height(Cm) ,2.6872745115087393,6,3
Follicle No. (R),2.63827283840958,7,3
Weight (Kg),1.9014595673172148,8,3
Fast food (Y/N),1.4109748364620576,9,3
FSH(mIU/mL),0.914964984095186,10,3
Marraige Status (Yrs),0.862332829319368,11,3
Waist:Hip Ratio,0.745104127821802,12,3
FSH/LH,0.7451041278196051,13,3
BMI,0.6437645681637447,14,3
 Age (yrs),0.5860606849406342,15,3
Vit D3 (ng/mL),0.5612164113784233,16,3
BP _Systolic (mmHg),0.49499446521491886,17,3
Skin darkening (Y/N),0.4431490074821277,18,3
Pregnant(Y/N),0.43836666040366384,19,3
Pulse rate(bpm) ,0.3313229088875068,20,3
Weight gain(Y/N),0.31898356907123254,21,3
Blood Group,0.1878252068592477,22,3
Cycle(R/I),0.15472758791089186,23,3
Hair loss(Y/N),0.11443461381376878,24,3
  I   beta-HCG(mIU/mL),0.10997223663039322,25,3
LH(mIU/mL),0.08075753376147854,26,3
BP _Diastolic (mmHg),0.04705145493341138,27,3
hair growth(Y/N),0.02377612908991115,28,3
Reg.Exercise(Y/N),0.023654984560913733,29,3
No. of aborptions,0.009499409896455051,30,3
Hip(inch),0.004785280527470415,31,3
Waist(inch),0.004060499370168347,32,3
Cycle length(days),0.0013502911293834954,33,3
TSH (mIU/L),60.0,1,4
Hair loss(Y/N),4.9489710750706,2,4
Blood Group,4.233714167061542,3,4
Reg.Exercise(Y/N),2.895031249362146,4,4
Pulse rate(bpm) ,2.373582219305214,5,4
Skin darkening (Y/N),2.3149997582809725,6,4
Avg. F size (R) (mm),1.810831555619137,7,4
Waist(inch),1.2803499547072474,8,4
BP _Systolic (mmHg),1.275660071330772,9,4
BP _Diastolic (mmHg),1.1748263643114054,10,4
  I   beta-HCG(mIU/mL),0.6334442930632541,11,4
Height(Cm) ,0.6242536941520725,12,4
RR (breaths/min),0.591976928502513,13,4
Follicle No. (R),0.5615847267755836,14,4
Hip(inch),0.4921129856899273,15,4
hair growth(Y/N),0.483856164001912,16,4
Pregnant(Y/N),0.39059681501397014,17,4
Cycle(R/I),0.3546286025937511,18,4
No. of aborptions,0.35424635437925106,19,4
Weight (Kg),0.2997100334802394,20,4
FSH/LH,0.27594973401122985,21,4
Waist:Hip Ratio,0.2540991331785623,22,4
FSH(mIU/mL),0.2250547017726335,23,4
Pimples(Y/N),0.19887407287938047,24,4
Follicle No. (L),0.19022958354907435,25,4
Weight gain(Y/N),0.12806752381766714,26,4
Marraige Status (Yrs),0.07546132708227556,27,4
BMI,0.07183239260226416,28,4
LH(mIU/mL),0.0634347758492531,29,4
 Age (yrs),0.049218866769884406,30,4
Vit D3 (ng/mL),0.02613380433825273,31,4
Cycle length(days),0.011690547119875914,32,4
