Feature,Importance Score,Rank,Fold
TSH (mIU/L),60.0,1,1
Cycle length(days),3.8089253982072426,2,1
Waist(inch),3.216667939214826,3,1
 Age (yrs),2.4604357024755084,4,1
Marraige Status (Yrs),2.0490752508673364,5,1
Follicle No. (R),1.7468825820133904,6,1
No. of aborptions,1.3074822110904871,7,1
Weight (Kg),1.2042111223413536,8,1
RBS(mg/dl),1.1813749776002644,9,1
Hip(inch),1.0137498018782791,10,1
Cycle(R/I),0.964760218557619,11,1
PRL(ng/mL),0.9031623162886407,12,1
PRG(ng/mL),0.8506368796878777,13,1
RR (breaths/min),0.48092949842778016,14,1
Skin darkening (Y/N),0.3606788691836523,15,1
Avg. F size (L) (mm),0.2171230127966666,16,1
Avg. F size (R) (mm),0.1923847945048547,17,1
LH(mIU/mL),0.17161875090272008,18,1
FSH/LH,0.16149518584392356,19,1
Fast food (Y/N),0.15463876951517994,20,1
Pimples(Y/N),0.15063747048786216,21,1
Weight gain(Y/N),0.11338378720809153,22,1
Hair loss(Y/N),0.07474372951227831,23,1
  I   beta-HCG(mIU/mL),0.06981570981273849,24,1
FSH(mIU/mL),0.050591016444645844,25,1
Endometrium (mm),0.04449304335890163,26,1
Vit D3 (ng/mL),0.04356093774098308,27,1
BMI,0.018460909972891994,28,1
Reg.Exercise(Y/N),0.012273359880200984,29,1
Height(Cm) ,0.008178416806101589,30,1
Follicle No. (L),0.004005906886220426,31,1
Pulse rate(bpm) ,0.0037054533642880334,32,1
hair growth(Y/N),0.00025315967173034423,33,1
TSH (mIU/L),60.0,1,2
Avg. F size (L) (mm),7.231846452307412,2,2
Avg. F size (R) (mm),4.952495742008422,3,2
PRG(ng/mL),3.7164209600994345,4,2
Pulse rate(bpm) ,2.960331107287967,5,2
Weight (Kg),2.53056851319451,6,2
BMI,2.1280993050209167,7,2
Follicle No. (L),2.027810441281141,8,2
Hip(inch),1.4080331488811877,9,2
No. of aborptions,1.1482501131380123,10,2
Reg.Exercise(Y/N),1.1224410483598977,11,2
Skin darkening (Y/N),1.009178663367442,12,2
Marraige Status (Yrs),0.8782017408087947,13,2
Fast food (Y/N),0.8760783787696869,14,2
Vit D3 (ng/mL),0.7880312724718919,15,2
Cycle length(days),0.6202930449442053,16,2
RR (breaths/min),0.5973705867520399,17,2
Follicle No. (R),0.5001018652997411,18,2
Hair loss(Y/N),0.3773448298947549,19,2
  I   beta-HCG(mIU/mL),0.2720759267943264,20,2
LH(mIU/mL),0.24886593953572692,21,2
Pimples(Y/N),0.20495433419239714,22,2
Endometrium (mm),0.14562202222422257,23,2
Waist(inch),0.13299669696386035,24,2
Cycle(R/I),0.07854342807451282,25,2
 Age (yrs),0.05763559285547791,26,2
FSH/LH,0.03508959636251519,27,2
Weight gain(Y/N),0.020208319091937932,28,2
hair growth(Y/N),0.012775486961167776,29,2
FSH(mIU/mL),0.011137697694881557,30,2
PRL(ng/mL),0.010090752012490996,31,2
RBS(mg/dl),0.0028106251481323473,32,2
Height(Cm) ,1.0601836320888475e-05,33,2
TSH (mIU/L),60.0,1,3
RR (breaths/min),4.464100210168015,2,3
Follicle No. (L),4.079439678646082,3,3
Avg. F size (R) (mm),2.847216951484524,4,3
Pimples(Y/N),2.7602080507210642,5,3
Height(Cm) ,2.6872745115087393,6,3
Follicle No. (R),2.63827283840958,7,3
Weight (Kg),1.9014595673172148,8,3
Fast food (Y/N),1.4109748364620576,9,3
FSH(mIU/mL),0.914964984095186,10,3
Marraige Status (Yrs),0.862332829319368,11,3
Avg. F size (L) (mm),0.7729825934020945,12,3
FSH/LH,0.7451041278196051,13,3
PRL(ng/mL),0.733421688799109,14,3
BMI,0.6437645681637447,15,3
 Age (yrs),0.5860606849406342,16,3
Vit D3 (ng/mL),0.5612164113784233,17,3
Skin darkening (Y/N),0.4431490074821277,18,3
Endometrium (mm),0.3931763777394651,19,3
Pulse rate(bpm) ,0.3313229088875068,20,3
Weight gain(Y/N),0.31898356907123254,21,3
PRG(ng/mL),0.1606978389750007,22,3
Cycle(R/I),0.15472758791089186,23,3
Hair loss(Y/N),0.11443461381376878,24,3
  I   beta-HCG(mIU/mL),0.10997223663039322,25,3
LH(mIU/mL),0.08075753376147854,26,3
RBS(mg/dl),0.02568266230844609,27,3
hair growth(Y/N),0.02377612908991115,28,3
Reg.Exercise(Y/N),0.023654984560913733,29,3
No. of aborptions,0.009499409896455051,30,3
Hip(inch),0.004785280527470415,31,3
Waist(inch),0.004060499370168347,32,3
Cycle length(days),0.0013502911293834954,33,3
TSH (mIU/L),60.0,1,4
Hair loss(Y/N),4.9489710750706,2,4
Reg.Exercise(Y/N),2.895031249362146,3,4
Pulse rate(bpm) ,2.373582219305214,4,4
Skin darkening (Y/N),2.3149997582809725,5,4
Avg. F size (R) (mm),1.810831555619137,6,4
Waist(inch),1.2803499547072474,7,4
RBS(mg/dl),1.051903754201559,8,4
Endometrium (mm),0.7431351325202531,9,4
  I   beta-HCG(mIU/mL),0.6334442930632541,10,4
Height(Cm) ,0.6242536941520725,11,4
RR (breaths/min),0.591976928502513,12,4
Follicle No. (R),0.5615847267755836,13,4
Hip(inch),0.4921129856899273,14,4
hair growth(Y/N),0.483856164001912,15,4
PRG(ng/mL),0.39746575454739846,16,4
Cycle(R/I),0.3546286025937511,17,4
No. of aborptions,0.35424635437925106,18,4
Weight (Kg),0.2997100334802394,19,4
FSH/LH,0.27594973401122985,20,4
FSH(mIU/mL),0.2250547017726335,21,4
Pimples(Y/N),0.19887407287938047,22,4
Follicle No. (L),0.19022958354907435,23,4
Weight gain(Y/N),0.12806752381766714,24,4
Marraige Status (Yrs),0.07546132708227556,25,4
BMI,0.07183239260226416,26,4
PRL(ng/mL),0.06388071567121915,27,4
LH(mIU/mL),0.0634347758492531,28,4
 Age (yrs),0.049218866769884406,29,4
Vit D3 (ng/mL),0.02613380433825273,30,4
Avg. F size (L) (mm),0.0127367689057227,31,4
Cycle length(days),0.011690547119875914,32,4
Fast food (Y/N),0.009699418891382712,33,4
