Feature,Importance Score,Rank,Fold
Waist:Hip Ratio,60.0,1,1
FSH/LH,55.0,2,1
LH(mIU/mL),8.805521918204407,3,1
Blood Group,2.626825590332985,4,1
Cycle(R/I),2.6107166287128036,5,1
Hair loss(Y/N),2.17472919219892,6,1
Pregnant(Y/N),2.1458310390763238,7,1
Pimples(Y/N),2.0540737852984434,8,1
Fast food (Y/N),1.9951502902007423,9,1
BP _Systolic (mmHg),1.6724639104509973,10,1
Height(Cm) ,1.6682125310513858,11,1
Weight (Kg),1.1081542654436185,12,1
BMI,0.9598232792377293,13,1
Cycle length(days),0.8007682226617193,14,1
RR (breaths/min),0.6681140237561642,15,1
Marraige Status (Yrs),0.3878267161711622,16,1
 Age (yrs),0.3132820858455039,17,1
Pulse rate(bpm) ,0.2264102408805844,18,1
Hip(inch),0.037339761450875676,19,1
Waist(inch),0.03275054427741164,20,1
Follicle No. (R),0.01862012619717583,21,1
Follicle No. (L),0.016469101364522024,22,1
Weight gain(Y/N),0.006900390029857416,23,1
BP _Diastolic (mmHg),0.0016094153174353199,24,1
hair growth(Y/N),0.0014775140438587553,25,1
Skin darkening (Y/N),0.0008604629868080621,26,1
Reg.Exercise(Y/N),0.000812017130747743,27,1
No. of aborptions,0.0007082047297684673,28,1
Waist:Hip Ratio,60.0,1,2
BMI,8.19467602994126,2,2
Weight (Kg),2.413635332956487,3,2
Hip(inch),2.0838003862100165,4,2
Pimples(Y/N),1.7977048457275684,5,2
hair growth(Y/N),1.7686574219115523,6,2
Fast food (Y/N),1.7312660741811112,7,2
 Age (yrs),1.6445566864431698,8,2
Cycle(R/I),1.4417526075264373,9,2
Marraige Status (Yrs),1.3326433753571534,10,2
BP _Systolic (mmHg),1.2811709467148715,11,2
Weight gain(Y/N),1.1824634024210225,12,2
LH(mIU/mL),0.9380278323757721,13,2
Skin darkening (Y/N),0.9292849696757763,14,2
BP _Diastolic (mmHg),0.854370707675198,15,2
Reg.Exercise(Y/N),0.7164920638720866,16,2
Cycle length(days),0.34389621452603897,17,2
RR (breaths/min),0.3037350770816479,18,2
No. of aborptions,0.29728221190120263,19,2
Pulse rate(bpm) ,0.15028277946150054,20,2
Hair loss(Y/N),0.11020000175275414,21,2
FSH/LH,0.10841592079521775,22,2
Height(Cm) ,0.043957881825842156,23,2
Follicle No. (R),0.022706033162550876,24,2
Pregnant(Y/N),0.012674477816609537,25,2
Waist(inch),0.009557374346059178,26,2
Blood Group,0.0060821897495882266,27,2
Follicle No. (L),0.00426747751362998,28,2
Waist:Hip Ratio,60.0,1,3
Hip(inch),4.692128725377176,2,3
hair growth(Y/N),2.9080932784643942,3,3
Cycle(R/I),2.406212664280427,4,3
Skin darkening (Y/N),1.7821637426907906,5,3
Weight gain(Y/N),1.5799457994587252,6,3
No. of aborptions,1.4827688434051314,7,3
Hair loss(Y/N),1.1617535903257434,8,3
LH(mIU/mL),1.1493791388786174,9,3
Pimples(Y/N),0.9633058984918063,10,3
Pregnant(Y/N),0.7123655913973346,11,3
Fast food (Y/N),0.6594328703710887,12,3
BP _Systolic (mmHg),0.6259448223622369,13,3
RR (breaths/min),0.5694640962097323,14,3
Waist(inch),0.5508461310363623,15,3
Marraige Status (Yrs),0.290956306389976,16,3
Reg.Exercise(Y/N),0.2687389770721169,17,3
BP _Diastolic (mmHg),0.2647292899111441,18,3
Blood Group,0.23462857309953578,19,3
Follicle No. (R),0.08247308886039378,20,3
Follicle No. (L),0.06954080109717208,21,3
Height(Cm) ,0.001489901798805274,22,3
 Age (yrs),0.0005079000010959092,23,3
Cycle length(days),0.0004147616000785092,24,3
BMI,5.092968444114424e-05,25,3
Weight (Kg),3.803106261856015e-05,26,3
Pulse rate(bpm) ,1.3135810473423745e-06,27,3
FSH/LH,-255011517361896.94,28,3
Waist:Hip Ratio,60.0,1,4
FSH/LH,55.0,2,4
Cycle(R/I),5.620679822130752,3,4
RR (breaths/min),4.933526742810196,4,4
Hip(inch),2.510573589167595,5,4
Follicle No. (R),2.164629857014112,6,4
hair growth(Y/N),2.010055088902591,7,4
Pimples(Y/N),1.8278550181587703,8,4
Follicle No. (L),1.60731525925395,9,4
Hair loss(Y/N),1.514214153715356,10,4
Cycle length(days),1.2710181877203806,11,4
