Feature,Importance Score,Rank,Fold
FSH(mIU/mL),60.0,1,1
 Age (yrs),6.74985212300131,2,1
Weight gain(Y/N),3.2441533777903167,3,1
Skin darkening (Y/N),2.9174591376439736,4,1
Follicle No. (R),2.451425961465388,5,1
Weight (Kg),2.4056843170696505,6,1
Cycle(R/I),1.3952237557611518,7,1
Pimples(Y/N),1.2370128584323115,8,1
Waist(inch),1.1485075708290584,9,1
Hair loss(Y/N),1.002290757913435,10,1
Cycle length(days),0.8955151295796061,11,1
Hip(inch),0.8649383629445223,12,1
hair growth(Y/N),0.6748653104139003,13,1
Follicle No. (L),0.39909694455676714,14,1
Fast food (Y/N),0.11338843780287175,15,1
Follicle No. (L),7.008226488067061,1,2
Cycle(R/I),6.596148265155163,2,2
Follicle No. (R),5.779152245945949,3,2
Skin darkening (Y/N),5.107248184573501,4,2
Pimples(Y/N),3.9438090285085248,5,2
Weight gain(Y/N),1.8541317554075005,6,2
Hair loss(Y/N),1.4184546185119542,7,2
hair growth(Y/N),0.9448903374379313,8,2
Fast food (Y/N),0.6776191268397647,9,2
 Age (yrs),0.12755355638825314,10,2
Cycle length(days),0.09670894252250319,11,2
Weight (Kg),0.07923810150164438,12,2
Hip(inch),0.04064352051662114,13,2
Waist(inch),0.0010519854696672346,14,2
FSH(mIU/mL),-7.956359341687886e+16,15,2
Hair loss(Y/N),1.142994406583195,1,3
Pimples(Y/N),0.9640462652959622,2,3
Weight gain(Y/N),0.6609393033409803,3,3
Fast food (Y/N),0.6317196758295966,4,3
Skin darkening (Y/N),0.5888018897725148,5,3
Cycle(R/I),0.399198408507886,6,3
hair growth(Y/N),0.3570175401342276,7,3
Weight (Kg),0.35186873030245297,8,3
Follicle No. (R),0.27706612113272044,9,3
Cycle length(days),0.2767011425906378,10,3
 Age (yrs),0.186660693249673,11,3
Waist(inch),0.17493361683056474,12,3
Hip(inch),0.0012281985610040277,13,3
Follicle No. (L),0.0002483895218057931,14,3
FSH(mIU/mL),-2.3869078025063638e+17,15,3
Follicle No. (R),2.929525387520584,1,4
Weight gain(Y/N),2.431780118683289,2,4
Weight (Kg),1.2854901691808804,3,4
Pimples(Y/N),1.0955399766462557,4,4
Waist(inch),0.8598187976911005,5,4
Hip(inch),0.8373416011638513,6,4
Fast food (Y/N),0.6592480158099702,7,4
Cycle length(days),0.5360184331160635,8,4
Skin darkening (Y/N),0.40676690222900436,9,4
hair growth(Y/N),0.2424963302543005,10,4
Hair loss(Y/N),0.21344557727640248,11,4
 Age (yrs),0.2119652628901941,12,4
Cycle(R/I),0.16430218619937667,13,4
Follicle No. (L),0.00022562039884921074,14,4
FSH(mIU/mL),-2.3869078025063638e+17,15,4
FSH(mIU/mL),60.0,1,5
Cycle length(days),3.3411213906833557,2,5
Skin darkening (Y/N),2.6039394562156333,3,5
Hair loss(Y/N),2.257933556785969,4,5
Follicle No. (L),1.8853328458683023,5,5
Weight (Kg),1.2542873105248515,6,5
Follicle No. (R),1.237215341136489,7,5
Hip(inch),1.2020402770940173,8,5
Weight gain(Y/N),1.1931399800348557,9,5
hair growth(Y/N),1.1843038266872838,10,5
 Age (yrs),0.9007053395167351,11,5
Waist(inch),0.6235669265405228,12,5
Pimples(Y/N),0.32096562247472876,13,5
Cycle(R/I),0.023916643660654685,14,5
Fast food (Y/N),0.008818006393993856,15,5
