Feature,Importance Score,Rank,Fold
LH(mIU/mL),60.0,1,1
FSH/LH,14.34833470300495,2,1
 Age (yrs),4.298481242381488,3,1
Cycle length(days),3.9187470260887642,4,1
hair growth(Y/N),2.2167940274741733,5,1
Skin darkening (Y/N),2.0097067132624677,6,1
Hair loss(Y/N),1.9348369779365968,7,1
Fast food (Y/N),1.7824311588965058,8,1
Cycle(R/I),1.3912108027093617,9,1
Waist(inch),0.9330936409546823,10,1
  I   beta-HCG(mIU/mL),0.8869470582963785,11,1
Pimples(Y/N),0.8338168255327952,12,1
Avg. F size (L) (mm),0.7505207295441185,13,1
Hip(inch),0.5292168908460922,14,1
Weight (Kg),0.285914977332479,15,1
PRL(ng/mL),0.26210461009454006,16,1
Follicle No. (L),0.2310562839678348,17,1
Weight gain(Y/N),0.1574506858714251,18,1
Follicle No. (R),0.03492375417609867,19,1
Vit D3 (ng/mL),0.018073543396494265,20,1
PRG(ng/mL),0.0004883488526686151,21,1
LH(mIU/mL),60.0,1,2
 Age (yrs),7.603710900745757,2,2
Cycle(R/I),5.952521917852987,3,2
Skin darkening (Y/N),4.073151862285522,4,2
PRL(ng/mL),3.106327992252296,5,2
Hair loss(Y/N),2.383643316646982,6,2
Vit D3 (ng/mL),2.027952642679862,7,2
Weight gain(Y/N),1.571488359133067,8,2
  I   beta-HCG(mIU/mL),1.5152382973431504,9,2
FSH/LH,1.450809397566915,10,2
Fast food (Y/N),1.1117751761541173,11,2
Weight (Kg),0.707693099112997,12,2
Avg. F size (L) (mm),0.6358455683289821,13,2
Cycle length(days),0.21872118578981123,14,2
hair growth(Y/N),0.20689275784295888,15,2
PRG(ng/mL),0.1612968745514564,16,2
Pimples(Y/N),0.14262502553271,17,2
Follicle No. (L),0.12166018123209461,18,2
Waist(inch),0.08010820974835846,19,2
Hip(inch),0.05902052536148996,20,2
Follicle No. (R),0.038029246935261045,21,2
PRG(ng/mL),11.87335365964167,1,3
Cycle(R/I),6.477289422147564,2,3
Cycle length(days),6.1517895152286295,3,3
 Age (yrs),4.416861937789744,4,3
Avg. F size (L) (mm),2.017321783373557,5,3
Follicle No. (L),1.6344804174624068,6,3
hair growth(Y/N),1.5790351063565131,7,3
FSH/LH,1.1493791388796748,8,3
Follicle No. (R),0.8876662123800712,9,3
Weight gain(Y/N),0.5637528118779825,10,3
PRL(ng/mL),0.5084585735502833,11,3
Pimples(Y/N),0.21008502186243871,12,3
Hip(inch),0.11716842325632676,13,3
Hair loss(Y/N),0.10232215968799559,14,3
Skin darkening (Y/N),0.09889295414868499,15,3
  I   beta-HCG(mIU/mL),0.05335794236361439,16,3
Weight (Kg),0.02706677650986447,17,3
Waist(inch),0.007894672288101676,18,3
Vit D3 (ng/mL),0.007186404666607543,19,3
Fast food (Y/N),0.0001975249168652066,20,3
LH(mIU/mL),-2.3869078025063638e+17,21,3
LH(mIU/mL),60.0,1,4
PRL(ng/mL),3.114429451691027,2,4
Hair loss(Y/N),1.1238978171069303,3,4
Fast food (Y/N),0.9548579748754011,4,4
Pimples(Y/N),0.9242895858651123,5,4
Vit D3 (ng/mL),0.9232790892828818,6,4
Avg. F size (L) (mm),0.7720684537642519,7,4
Weight gain(Y/N),0.5856877583328869,8,4
Skin darkening (Y/N),0.3959287081783921,9,4
Weight (Kg),0.3892287220534151,10,4
hair growth(Y/N),0.33912175401963096,11,4
Cycle(R/I),0.25784125359677773,12,4
Hip(inch),0.22897224474450786,13,4
Waist(inch),0.22887849158154064,14,4
 Age (yrs),0.027209031664919524,15,4
  I   beta-HCG(mIU/mL),0.022840475267716143,16,4
FSH/LH,0.022225017289703258,17,4
PRG(ng/mL),0.01482069816341358,18,4
Follicle No. (L),0.008654468170810935,19,4
Cycle length(days),0.0030684669403335655,20,4
Follicle No. (R),0.0007537530168214585,21,4
LH(mIU/mL),60.0,1,5
Cycle length(days),9.343734789061614,2,5
Weight (Kg),5.8834317533302976,3,5
Cycle(R/I),3.958070230282031,4,5
Weight gain(Y/N),3.7308306420566955,5,5
Skin darkening (Y/N),3.107433374973779,6,5
  I   beta-HCG(mIU/mL),2.0899444194287784,7,5
Fast food (Y/N),1.9313609743298121,8,5
Hip(inch),1.9232803800765552,9,5
 Age (yrs),1.4420672174216735,10,5
Hair loss(Y/N),1.188111839541049,11,5
Waist(inch),1.0403311017052526,12,5
FSH/LH,0.782139129667431,13,5
Vit D3 (ng/mL),0.6112397768144817,14,5
Avg. F size (L) (mm),0.288351486516353,15,5
Follicle No. (R),0.20743928559457425,16,5
hair growth(Y/N),0.16841390617279223,17,5
Pimples(Y/N),0.1371411822411696,18,5
Follicle No. (L),0.05591836330287104,19,5
PRG(ng/mL),0.008921096419804223,20,5
PRL(ng/mL),0.00806923213103199,21,5
