Feature,Importance Score,Rank,Fold
FSH(mIU/mL),60.0,1,1
 Age (yrs),6.749852123001315,2,1
Vit D3 (ng/mL),6.43324245760809,3,1
Marraige Status (Yrs),3.87698583324101,4,1
Weight gain(Y/N),3.2441533777903167,5,1
Skin darkening (Y/N),2.9174591376439736,6,1
Follicle No. (R),2.451425961465388,7,1
Weight (Kg),2.405684317069647,8,1
Height(Cm) ,1.5171996011779638,9,1
Hb(g/dl),1.4955884647762656,10,1
Cycle(R/I),1.3952237557611518,11,1
Pulse rate(bpm) ,1.2950701672830705,12,1
Pimples(Y/N),1.2370128584323115,13,1
Waist(inch),1.1485075708290584,14,1
RBS(mg/dl),1.0877528074179712,15,1
Hair loss(Y/N),1.002290757913435,16,1
PRG(ng/mL),0.896249204505213,17,1
Cycle length(days),0.8955151295796061,18,1
Hip(inch),0.8649383629445223,19,1
Reg.Exercise(Y/N),0.6919599288544138,20,1
hair growth(Y/N),0.6748653104139003,21,1
Follicle No. (L),0.39909694455676714,22,1
LH(mIU/mL),0.3751487769020165,23,1
BMI,0.36953212403841035,24,1
AMH(ng/mL),0.2946083400466145,25,1
RR (breaths/min),0.21869655769699964,26,1
BP _Diastolic (mmHg),0.1604292763545719,27,1
Blood Group,0.15526290696739545,28,1
Waist:Hip Ratio,0.12341156608332776,29,1
Fast food (Y/N),0.11338843780287175,30,1
Endometrium (mm),0.07675173720278539,31,1
FSH/LH,0.0374283461969732,32,1
Avg. F size (R) (mm),0.019110498158177867,33,1
No. of aborptions,0.013284945180876166,34,1
Avg. F size (L) (mm),0.008399782370572479,35,1
LH(mIU/mL),12.470564972193351,1,2
Follicle No. (L),7.008226488067061,2,2
Cycle(R/I),6.596148265155163,3,2
Follicle No. (R),5.779152245945949,4,2
Skin darkening (Y/N),5.107248184573501,5,2
No. of aborptions,4.909411384126097,6,2
Pimples(Y/N),3.9438090285085248,7,2
BMI,3.254915091680981,8,2
Weight gain(Y/N),1.8541317554075005,9,2
Endometrium (mm),1.8367210561491212,10,2
Hair loss(Y/N),1.4184546185119542,11,2
hair growth(Y/N),0.9448903374379313,12,2
RBS(mg/dl),0.8617495857293894,13,2
Fast food (Y/N),0.6776191268397647,14,2
AMH(ng/mL),0.6308037669970266,15,2
Blood Group,0.5483772604044048,16,2
