Feature,Importance Score,Rank
Cycle(R/I),5.089864137204813,1
Follicle No. (R),4.579412710699071,2
Skin darkening (Y/N),4.297746018707515,3
Weight gain(Y/N),3.022735645409627,4
Follicle No. (L),2.982765815936868,5
Hair loss(Y/N),2.5293894345324004,6
Hb(g/dl),2.2067701485020215,7
Pimples(Y/N),2.046050458755162,8
Cycle length(days),1.8412699478417796,9
Fast food (Y/N),1.788625038353101,10
Marraige Status (Yrs),0.9376005830461971,11
hair growth(Y/N),0.6335712271160902,12
Endometrium (mm),0.526996926566584,13
Waist(inch),0.1947039271624341,14
Avg. F size (R) (mm),0.07533180458692407,15
Hip(inch),0.051582234734524356,16
BMI,0.05148307783355944,17
Weight (Kg),0.03592699302117426,18
AMH(ng/mL),0.03162925082969718,19
Avg. F size (L) (mm),0.015753177919256144,20
 Age (yrs),0.010376725739721248,21
Pulse rate(bpm) ,0.0012059274725723797,22
Vit D3 (ng/mL),-1.2137200995763492e+18,23
