Feature,Importance Score,Rank,Fold
TSH (mIU/L),60.0,1,1
Cycle length(days),3.8089253982072426,2,1
Waist(inch),3.216667939214826,3,1
 Age (yrs),2.4604357024755084,4,1
Marraige Status (Yrs),2.0490752508673364,5,1
Follicle No. (R),1.7468825820133904,6,1
Hb(g/dl),1.3309189140158881,7,1
Weight (Kg),1.2042111223413536,8,1
Hip(inch),1.0137498018782791,9,1
Cycle(R/I),0.964760218557619,10,1
PRL(ng/mL),0.9031623162886407,11,1
RR (breaths/min),0.48092949842778016,12,1
Skin darkening (Y/N),0.3606788691836523,13,1
Avg. F size (L) (mm),0.2171230127966666,14,1
LH(mIU/mL),0.17161875090272008,15,1
FSH/LH,0.16149518584392356,16,1
Fast food (Y/N),0.15463876951517994,17,1
Pimples(Y/N),0.15063747048786216,18,1
Weight gain(Y/N),0.11338378720809153,19,1
Hair loss(Y/N),0.07474372951227831,20,1
  I   beta-HCG(mIU/mL),0.06981570981273849,21,1
FSH(mIU/mL),0.050591016444645844,22,1
Vit D3 (ng/mL),0.04356093774098308,23,1
Reg.Exercise(Y/N),0.012273359880200984,24,1
Waist:Hip Ratio,0.005426870175602196,25,1
Follicle No. (L),0.004005906886220426,26,1
hair growth(Y/N),0.00025315967173034423,27,1
TSH (mIU/L),60.0,1,2
Avg. F size (L) (mm),7.231846452307412,2,2
Weight (Kg),2.53056851319451,3,2
Follicle No. (L),2.027810441281141,4,2
Hip(inch),1.4080331488811877,5,2
Reg.Exercise(Y/N),1.1224410483598977,6,2
Skin darkening (Y/N),1.009178663367442,7,2
Marraige Status (Yrs),0.8782017408087947,8,2
Fast food (Y/N),0.8760783787696869,9,2
Vit D3 (ng/mL),0.7880312724718919,10,2
Cycle length(days),0.6202930449442053,11,2
RR (breaths/min),0.5973705867520399,12,2
Follicle No. (R),0.5001018652997411,13,2
Hair loss(Y/N),0.3773448298947549,14,2
  I   beta-HCG(mIU/mL),0.2720759267943264,15,2
LH(mIU/mL),0.24886593953572692,16,2
Pimples(Y/N),0.20495433419239714,17,2
Waist(inch),0.13299669696386035,18,2
Cycle(R/I),0.07854342807451282,19,2
Waist:Hip Ratio,0.07532944008309868,20,2
 Age (yrs),0.05763559285547791,21,2
Hb(g/dl),0.0436324142062883,22,2
FSH/LH,0.03508959636251519,23,2
Weight gain(Y/N),0.020208319091937932,24,2
hair growth(Y/N),0.012775486961167776,25,2
FSH(mIU/mL),0.011137697694881557,26,2
PRL(ng/mL),0.010090752012490996,27,2
TSH (mIU/L),60.0,1,3
RR (breaths/min),4.464100210168015,2,3
Follicle No. (L),4.079439678646082,3,3
Pimples(Y/N),2.7602080507210642,4,3
Follicle No. (R),2.63827283840958,5,3
Weight (Kg),1.9014595673172148,6,3
Fast food (Y/N),1.4109748364620576,7,3
FSH(mIU/mL),0.914964984095186,8,3
Marraige Status (Yrs),0.862332829319368,9,3
Avg. F size (L) (mm),0.7729825934020945,10,3
Waist:Hip Ratio,0.7451041278218935,11,3
FSH/LH,0.7451041278196051,12,3
PRL(ng/mL),0.733421688799109,13,3
 Age (yrs),0.5860606849406342,14,3
Vit D3 (ng/mL),0.5612164113784233,15,3
Skin darkening (Y/N),0.4431490074821277,16,3
Weight gain(Y/N),0.31898356907123254,17,3
Cycle(R/I),0.15472758791089186,18,3
Hair loss(Y/N),0.11443461381376878,19,3
  I   beta-HCG(mIU/mL),0.10997223663039322,20,3
LH(mIU/mL),0.08075753376147854,21,3
Hb(g/dl),0.03203724284001229,22,3
hair growth(Y/N),0.02377612908991115,23,3
Reg.Exercise(Y/N),0.023654984560913733,24,3
Hip(inch),0.004785280527470415,25,3
Waist(inch),0.004060499370168347,26,3
Cycle length(days),0.0013502911293834954,27,3
TSH (mIU/L),60.0,1,4
Hair loss(Y/N),4.9489710750706,2,4
Reg.Exercise(Y/N),2.895031249362146,3,4
Skin darkening (Y/N),2.3149997582809725,4,4
Hb(g/dl),1.8921863853928307,5,4
Waist(inch),1.2803499547072474,6,4
  I   beta-HCG(mIU/mL),0.6334442930632541,7,4
RR (breaths/min),0.591976928502513,8,4
Follicle No. (R),0.5615847267755836,9,4
Hip(inch),0.4921129856899273,10,4
hair growth(Y/N),0.483856164001912,11,4
Cycle(R/I),0.3546286025937511,12,4
Weight (Kg),0.2997100334802394,13,4
FSH/LH,0.27594973401122985,14,4
Waist:Hip Ratio,0.25409913317859395,15,4
FSH(mIU/mL),0.2250547017726335,16,4
Pimples(Y/N),0.19887407287938047,17,4
Follicle No. (L),0.19022958354907435,18,4
Weight gain(Y/N),0.12806752381766714,19,4
Marraige Status (Yrs),0.07546132708227556,20,4
PRL(ng/mL),0.06388071567121915,21,4
LH(mIU/mL),0.0634347758492531,22,4
 Age (yrs),0.049218866769884406,23,4
Vit D3 (ng/mL),0.02613380433825273,24,4
Avg. F size (L) (mm),0.0127367689057227,25,4
Cycle length(days),0.011690547119875914,26,4
Fast food (Y/N),0.009699418891382712,27,4
TSH (mIU/L),60.0,1,5
Marraige Status (Yrs),3.575015069098744,2,5
Pimples(Y/N),2.2791862771551576,3,5
hair growth(Y/N),2.214660603346038,4,5
FSH(mIU/mL),1.8363342473508515,5,5
Cycle(R/I),1.7155006405504756,6,5
PRL(ng/mL),1.541279982903624,7,5
Skin darkening (Y/N),1.4098486083720512,8,5
Hair loss(Y/N),1.3851464350693816,9,5
Hb(g/dl),1.139561571813133,10,5
 Age (yrs),1.1148902700856869,11,5
RR (breaths/min),1.0103907583378418,12,5
Weight (Kg),0.8105012467364547,13,5
Waist:Hip Ratio,0.7004045192507024,14,5
Avg. F size (L) (mm),0.6837662563645805,15,5
Waist(inch),0.633508185880599,16,5
Weight gain(Y/N),0.5916032571597312,17,5
Follicle No. (R),0.5735595200096509,18,5
FSH/LH,0.5376929741155959,19,5
  I   beta-HCG(mIU/mL),0.5249759870585021,20,5
LH(mIU/mL),0.26848015811205456,21,5
Cycle length(days),0.2523881538233677,22,5
Hip(inch),0.2434352703797597,23,5
Fast food (Y/N),0.22957244000312732,24,5
