Feature,Importance Score,Rank,Fold
Cycle(R/I),3.2452397802325614,1,1
Pregnant(Y/N),3.0103254412772613,2,1
Follicle No. (R),2.116589682738885,3,1
Follicle No. (L),1.258172378963515,4,1
Skin darkening (Y/N),1.233117707109286,5,1
Reg.Exercise(Y/N),0.8750028315777627,6,1
Pimples(Y/N),0.7689425426365256,7,1
Fast food (Y/N),0.5967043902574145,8,1
Hip(inch),0.39464840911212895,9,1
hair growth(Y/N),0.24166457712616335,10,1
Weight gain(Y/N),0.1779143895744156,11,1
Hair loss(Y/N),0.08382827625718266,12,1
Cycle length(days),0.0018562943295182064,13,1
BP _Systolic (mmHg),-3824485397846480.5,14,1
Pregnant(Y/N),6.750930825004937,1,2
Fast food (Y/N),3.5348777824342186,2,2
Cycle length(days),2.9641836661410546,3,2
Pimples(Y/N),1.827586206896524,4,2
Weight gain(Y/N),0.8633375669235709,5,2
hair growth(Y/N),0.6022727272727184,6,2
Hip(inch),0.3594354179241487,7,2
Cycle(R/I),0.2927554705757084,8,2
Follicle No. (L),0.17744227325192838,9,2
Hair loss(Y/N),0.08990670059372857,10,2
Skin darkening (Y/N),0.0828167777261182,11,2
Follicle No. (R),0.002187120066064929,12,2
Reg.Exercise(Y/N),0.0007526698477622034,13,2
BP _Systolic (mmHg),-4.773815605012737e+16,14,2
BP _Systolic (mmHg),60.0,1,3
Follicle No. (L),4.684110656514669,2,3
Follicle No. (R),4.564093517562877,3,3
Pregnant(Y/N),4.337458153993278,4,3
Hair loss(Y/N),1.613512741376843,5,3
Skin darkening (Y/N),1.088868513990773,6,3
Reg.Exercise(Y/N),0.43339919806081467,7,3
Cycle length(days),0.41698193290278796,8,3
Pimples(Y/N),0.25236734569743746,9,3
Hip(inch),0.17031348699185467,10,3
hair growth(Y/N),0.12875635192732296,11,3
Fast food (Y/N),0.09159425672562621,12,3
Weight gain(Y/N),0.03459981720851093,13,3
Cycle(R/I),0.004380635936089863,14,3
Hair loss(Y/N),4.89918286994558,1,4
Skin darkening (Y/N),2.3736246706957895,2,4
Hip(inch),1.0558157251866185,3,4
Cycle(R/I),0.8832825845494109,4,4
Reg.Exercise(Y/N),0.453386154870885,5,4
Pregnant(Y/N),0.3166305280751719,6,4
Follicle No. (R),0.15236612554523,7,4
Pimples(Y/N),0.07927350427350176,8,4
hair growth(Y/N),0.05970990001408127,9,4
Follicle No. (L),0.03662830026755246,10,4
Fast food (Y/N),0.02089081592431886,11,4
Cycle length(days),0.0024137721641954327,12,4
Weight gain(Y/N),0.0017464083300379634,13,4
BP _Systolic (mmHg),-6451102168936222.0,14,4
BP _Systolic (mmHg),60.0,1,5
hair growth(Y/N),3.6777895558592135,2,5
Skin darkening (Y/N),2.0231065229475087,3,5
Follicle No. (R),1.7102097153286047,4,5
Follicle No. (L),1.705711000049609,5,5
Cycle(R/I),1.3662930391657848,6,5
Reg.Exercise(Y/N),1.0320266461696117,7,5
Weight gain(Y/N),0.42295373041581713,8,5
Pregnant(Y/N),0.1489814691316039,9,5
Hair loss(Y/N),0.13685674907121306,10,5
Pimples(Y/N),0.06113818104679569,11,5
Fast food (Y/N),0.04740353047655145,12,5
Cycle length(days),0.0037699615156947083,13,5
Hip(inch),0.00018480389623225918,14,5
