Feature,Importance Score,Rank,Fold
Blood Group,60.0,1,1
BMI,7.256470633622205,2,1
BP _Systolic (mmHg),2.060043975876563,3,1
Hip(inch),1.062199924529313,4,1
hair growth(Y/N),0.8172474495676013,5,1
Waist(inch),0.7686463379805345,6,1
Pimples(Y/N),0.654780075389009,7,1
 Age (yrs),0.6266587774269862,8,1
Cycle length(days),0.5582170793913216,9,1
Hair loss(Y/N),0.5097993562195821,10,1
Fast food (Y/N),0.41046422245126135,11,1
Weight gain(Y/N),0.2387512681247839,12,1
Reg.Exercise(Y/N),0.18954541108264777,13,1
Cycle(R/I),0.17771928475939228,14,1
Follicle No. (R),0.09956478891230489,15,1
Follicle No. (L),0.0977442011307955,16,1
BP _Diastolic (mmHg),0.09555041346252573,17,1
RR (breaths/min),0.03597361379017238,18,1
Weight (Kg),0.03467628469676599,19,1
Skin darkening (Y/N),0.024923393952370865,20,1
Pregnant(Y/N),0.004556440277660033,21,1
Blood Group,60.0,1,2
hair growth(Y/N),4.906938730531879,2,2
RR (breaths/min),3.317741329496856,3,2
Waist(inch),2.5964142395812084,4,2
Weight (Kg),2.438453891273151,5,2
Pimples(Y/N),2.400398513651778,6,2
Skin darkening (Y/N),1.9752928440953812,7,2
Weight gain(Y/N),1.8712861994555856,8,2
Cycle(R/I),1.4902378810471362,9,2
Hip(inch),1.33596276699938,10,2
Pregnant(Y/N),1.2583519744627247,11,2
BP _Diastolic (mmHg),0.789516134189782,12,2
 Age (yrs),0.5586012427303835,13,2
Follicle No. (L),0.5160145217854015,14,2
Hair loss(Y/N),0.48801281313690636,15,2
BMI,0.26886607896443765,16,2
Reg.Exercise(Y/N),0.17179509650645053,17,2
Cycle length(days),0.08100048207101307,18,2
BP _Systolic (mmHg),0.07016477961930925,19,2
Follicle No. (R),0.04218976235707729,20,2
Fast food (Y/N),0.031376859002452705,21,2
Cycle(R/I),5.231271573840897,1,3
Weight (Kg),2.218533237398942,2,3
Fast food (Y/N),1.9243021803804128,3,3
Follicle No. (R),1.334932562185319,4,3
Follicle No. (L),1.2950142649162504,5,3
Pimples(Y/N),1.162006215381066,6,3
Reg.Exercise(Y/N),0.977799455407218,7,3
hair growth(Y/N),0.7933295438951011,8,3
Waist(inch),0.7832881339358435,9,3
BMI,0.7472809406204418,10,3
Skin darkening (Y/N),0.42997416020672236,11,3
Hair loss(Y/N),0.3736222626312614,12,3
RR (breaths/min),0.30168790270517226,13,3
 Age (yrs),0.2986152779058095,14,3
BP _Systolic (mmHg),0.27197719128790004,15,3
Cycle length(days),0.24927554734614188,16,3
Hip(inch),0.09782468502431646,17,3
BP _Diastolic (mmHg),0.08004292391317462,18,3
Weight gain(Y/N),0.018606284009128466,19,3
Pregnant(Y/N),0.0013529640762507738,20,3
Blood Group,-2.3869078025063638e+17,21,3
Cycle(R/I),6.51434910881919,1,4
Reg.Exercise(Y/N),6.342754126935555,2,4
 Age (yrs),3.13600165941494,3,4
Waist(inch),2.525019280172453,4,4
Cycle length(days),2.1391117491390856,5,4
Pregnant(Y/N),1.288691624855264,6,4
Follicle No. (L),1.2111785769704997,7,4
Hip(inch),1.1971699134600406,8,4
hair growth(Y/N),1.1675616136582707,9,4
Weight gain(Y/N),0.46468896702339785,10,4
RR (breaths/min),0.346553451828666,11,4
BP _Systolic (mmHg),0.2639795120941351,12,4
BP _Diastolic (mmHg),0.1445122697786264,13,4
Hair loss(Y/N),0.11686205725776583,14,4
Fast food (Y/N),0.10114503816793748,15,4
Weight (Kg),0.04429571864979487,16,4
Follicle No. (R),0.041080876361613845,17,4
Skin darkening (Y/N),0.03887910798122121,18,4
Pimples(Y/N),0.007821677557983298,19,4
BMI,0.0017589615041752717,20,4
Blood Group,-2.3869078025063638e+17,21,4
BP _Diastolic (mmHg),3.162739358925502,1,5
Pregnant(Y/N),1.598327358380976,2,5
Pimples(Y/N),1.2299987054102088,3,5
Cycle(R/I),1.0895341996898287,4,5
Waist(inch),1.0859525284504128,5,5
Weight gain(Y/N),0.9661291442618056,6,5
Skin darkening (Y/N),0.6395530513804357,7,5
Follicle No. (R),0.5629388605417771,8,5
Hair loss(Y/N),0.4778524932762502,9,5
Hip(inch),0.44609198986646004,10,5
Cycle length(days),0.4424340205874377,11,5
Fast food (Y/N),0.3966093124796004,12,5
hair growth(Y/N),0.16617081181233948,13,5
Follicle No. (L),0.13120024085781956,14,5
RR (breaths/min),0.10422032059542255,15,5
BP _Systolic (mmHg),0.09036954393941309,16,5
Reg.Exercise(Y/N),0.03143135510653626,17,5
Weight (Kg),0.0146905728045932,18,5
 Age (yrs),0.006099820413610513,19,5
BMI,8.7120518126773e-07,20,5
Blood Group,-4.773815605012737e+16,21,5
