Feature,Importance Score,Rank
LH(mIU/mL),60.0,1
PRL(ng/mL),1.1933977509967073,2
Pimples(Y/N),1.045758686173479,3
Fast food (Y/N),0.9943577359649524,4
Hair loss(Y/N),0.9138597463259269,5
Avg. F size (L) (mm),0.6820258737990125,6
Weight gain(Y/N),0.5738128760035172,7
Weight (Kg),0.4811328359897647,8
Skin darkening (Y/N),0.4359050375295258,9
hair growth(Y/N),0.3771422646802961,10
Waist(inch),0.2674974517087828,11
Hip(inch),0.2519766845770828,12
Cycle(R/I),0.24474955491277328,13
  I   beta-HCG(mIU/mL),0.025581771698548434,14
FSH/LH,0.019167327664326068,15
PRG(ng/mL),0.008924442300110672,16
Follicle No. (R),0.006519597754455482,17
Cycle length(days),0.0015409757880885846,18
Vit D3 (ng/mL),0.0012765034126246428,19
Follicle No. (L),0.0007935697340648738,20
 Age (yrs),0.00011769153998175612,21
