Feature,Importance Score,Rank,Fold
Waist:Hip Ratio,60.0,1,1
FSH/LH,55.0,2,1
LH(mIU/mL),8.805521918204407,3,1
RBS(mg/dl),3.81800356004331,4,1
Cycle(R/I),2.6107166287128036,5,1
Hair loss(Y/N),2.17472919219892,6,1
Pimples(Y/N),2.0540737852984434,7,1
Fast food (Y/N),1.9951502902007423,8,1
Avg. F size (R) (mm),1.967836352320128,9,1
Height(Cm) ,1.6682125310513858,10,1
Weight (Kg),1.1081542654436185,11,1
BMI,0.9598232792377293,12,1
Cycle length(days),0.8007682226617193,13,1
Marraige Status (Yrs),0.3878267161711622,14,1
 Age (yrs),0.3132820858455039,15,1
Avg. F size (L) (mm),0.3078764143673749,16,1
Hb(g/dl),0.30512321076660237,17,1
AMH(ng/mL),0.2699578294759711,18,1
Pulse rate(bpm) ,0.2264102408805844,19,1
Hip(inch),0.037339761450875676,20,1
Waist(inch),0.03275054427741164,21,1
Follicle No. (R),0.01862012619717583,22,1
Follicle No. (L),0.016469101364522024,23,1
Weight gain(Y/N),0.006900390029857416,24,1
hair growth(Y/N),0.0014775140438587553,25,1
Skin darkening (Y/N),0.0008604629868080621,26,1
Reg.Exercise(Y/N),0.000812017130747743,27,1
No. of aborptions,0.0007082047297684673,28,1
Vit D3 (ng/mL),6.745563479063963e-05,29,1
Endometrium (mm),8.820595157092218e-07,30,1
Waist:Hip Ratio,60.0,1,2
BMI,8.19467602994126,2,2
Vit D3 (ng/mL),4.331032759792512,3,2
RBS(mg/dl),2.4584199395111463,4,2
Weight (Kg),2.413635332956487,5,2
Hip(inch),2.0838003862100165,6,2
Pimples(Y/N),1.7977048457275684,7,2
hair growth(Y/N),1.7686574219115523,8,2
Fast food (Y/N),1.7312660741811112,9,2
 Age (yrs),1.6445566864431698,10,2
Cycle(R/I),1.4417526075264373,11,2
Marraige Status (Yrs),1.3326433753571534,12,2
Hb(g/dl),1.2960661124643422,13,2
Weight gain(Y/N),1.1824634024210225,14,2
LH(mIU/mL),0.9380278323757721,15,2
Skin darkening (Y/N),0.9292849696757763,16,2
Reg.Exercise(Y/N),0.7164920638720866,17,2
Avg. F size (L) (mm),0.7093058569566267,18,2
Endometrium (mm),0.36113740131860145,19,2
Cycle length(days),0.34389621452603897,20,2
No. of aborptions,0.29728221190120263,21,2
AMH(ng/mL),0.2180953476483611,22,2
Pulse rate(bpm) ,0.15028277946150054,23,2
Hair loss(Y/N),0.11020000175275414,24,2
FSH/LH,0.10841592079521775,25,2
Avg. F size (R) (mm),0.04918006694905549,26,2
Height(Cm) ,0.043957881825842156,27,2
Follicle No. (R),0.022706033162550876,28,2
Waist(inch),0.009557374346059178,29,2
Follicle No. (L),0.00426747751362998,30,2
Waist:Hip Ratio,60.0,1,3
Hip(inch),4.692128725377176,2,3
hair growth(Y/N),2.9080932784643942,3,3
Cycle(R/I),2.406212664280427,4,3
Skin darkening (Y/N),1.7821637426907906,5,3
Weight gain(Y/N),1.5799457994587252,6,3
No. of aborptions,1.4827688434051314,7,3
Vit D3 (ng/mL),1.2794773946615097,8,3
Hair loss(Y/N),1.1617535903257434,9,3
LH(mIU/mL),1.1493791388786174,10,3
Pimples(Y/N),0.9633058984918063,11,3
Hb(g/dl),0.9428405091819096,12,3
Fast food (Y/N),0.6594328703710887,13,3
AMH(ng/mL),0.5904278496967158,14,3
Waist(inch),0.5508461310363623,15,3
Marraige Status (Yrs),0.290956306389976,16,3
Reg.Exercise(Y/N),0.2687389770721169,17,3
Follicle No. (R),0.08247308886039378,18,3
Follicle No. (L),0.06954080109717208,19,3
Avg. F size (R) (mm),0.03815664564390791,20,3
Endometrium (mm),0.018868817252481126,21,3
Avg. F size (L) (mm),0.0064714173191594586,22,3
RBS(mg/dl),0.003128476423180515,23,3
Height(Cm) ,0.001489901798805274,24,3
 Age (yrs),0.0005079000010959092,25,3
Cycle length(days),0.0004147616000785092,26,3
BMI,5.092968444114424e-05,27,3
Weight (Kg),3.803106261856015e-05,28,3
Pulse rate(bpm) ,1.3135810473423745e-06,29,3
FSH/LH,-255011517361896.94,30,3
Waist:Hip Ratio,60.0,1,4
FSH/LH,55.0,2,4
Cycle(R/I),5.620679822130752,3,4
Hip(inch),2.510573589167595,4,4
