Feature,Importance Score,Rank
Follicle No. (L),35.667735452873934,1
Follicle No. (R),13.478622616210782,2
AMH(ng/mL),9.943675141219344,3
Hip(inch),3.7376607245098117,4
Cycle length(days),1.4788026984322495,5
Skin darkening (Y/N),0.7890411634977406,6
Fast food (Y/N),0.6904236346563217,7
Cycle(R/I),0.6037766049419026,8
hair growth(Y/N),0.5776132912632658,9
Hair loss(Y/N),0.5427991071039335,10
Waist(inch),0.5116917508957827,11
Pimples(Y/N),0.3400648689445027,12
Weight gain(Y/N),0.25465968339371353,13
Weight (Kg),0.2462212978718978,14
 Age (yrs),0.14415814211078143,15
Avg. F size (L) (mm),-1.2137200995763492e+18,16
