Feature,Importance Score,Rank,Fold
Waist(inch),60.0,1,1
Weight gain(Y/N),19.470043703875746,2,1
Follicle No. (R),4.505244269700014,3,1
Follicle No. (L),3.310744391914875,4,1
Cycle(R/I),2.733481661188215,5,1
Cycle length(days),1.7942698630175768,6,1
hair growth(Y/N),1.6690486119053969,7,1
Fast food (Y/N),1.3542915894021839,8,1
Skin darkening (Y/N),0.5001727945353298,9,1
Pimples(Y/N),0.3775237554557472,10,1
Hair loss(Y/N),0.3508477011611157,11,1
PRG(ng/mL),0.14981833711492568,12,1
FSH/LH,0.015259227123437,13,1
  I   beta-HCG(mIU/mL),0.0013563918166297156,14,1
Weight gain(Y/N),21.410578083954547,1,2
hair growth(Y/N),9.21252811547989,2,2
Pimples(Y/N),3.529531774951538,3,2
Hair loss(Y/N),2.1884186018415996,4,2
Fast food (Y/N),1.9387464215891483,5,2
Skin darkening (Y/N),1.5779942441596297,6,2
Cycle length(days),1.505247101747583,7,2
Cycle(R/I),0.8528156531899577,8,2
Follicle No. (L),0.5462280271687088,9,2
  I   beta-HCG(mIU/mL),0.31504657969728184,10,2
FSH/LH,0.25308297164995835,11,2
Follicle No. (R),0.04784795885687338,12,2
PRG(ng/mL),0.032810726775749414,13,2
Waist(inch),-4.773815605012737e+16,14,2
Waist(inch),60.0,1,3
Weight gain(Y/N),23.99574676118301,2,3
Cycle(R/I),14.351049125128357,3,3
Fast food (Y/N),5.47904689274742,4,3
hair growth(Y/N),5.335944349496718,5,3
Follicle No. (R),4.393787572491271,6,3
Follicle No. (L),2.6050353200766123,7,3
Skin darkening (Y/N),2.4332986281969538,8,3
Pimples(Y/N),2.1823346571365705,9,3
FSH/LH,0.5508461310307755,10,3
Hair loss(Y/N),0.40787176879524306,11,3
Cycle length(days),0.05654298821730775,12,3
PRG(ng/mL),0.026614288915315438,13,3
  I   beta-HCG(mIU/mL),0.006316701479076943,14,3
Waist(inch),60.0,1,4
Weight gain(Y/N),11.440177844812384,2,4
Pimples(Y/N),2.610407127784978,3,4
hair growth(Y/N),1.305963291728514,4,4
Follicle No. (L),0.9846257837808482,5,4
PRG(ng/mL),0.6939105467693297,6,4
Cycle length(days),0.6758151781500741,7,4
  I   beta-HCG(mIU/mL),0.39233245450098486,8,4
Follicle No. (R),0.3536971236006163,9,4
Cycle(R/I),0.18178962971961485,10,4
Fast food (Y/N),0.17826131722552227,11,4
Hair loss(Y/N),0.12947377344480956,12,4
Skin darkening (Y/N),0.057246952374021234,13,4
FSH/LH,0.021676415688158656,14,4
Fast food (Y/N),5.338855565076682,1,5
Cycle(R/I),4.7858452336544985,2,5
Follicle No. (L),3.6619244252877765,3,5
Weight gain(Y/N),2.062435336617147,4,5
hair growth(Y/N),1.559424209807302,5,5
  I   beta-HCG(mIU/mL),0.4349769903530696,6,5
Pimples(Y/N),0.33158971013806066,7,5
Cycle length(days),0.2834118922291989,8,5
FSH/LH,0.27845019280428834,9,5
Hair loss(Y/N),0.14291685205408708,10,5
Follicle No. (R),0.11735933625211434,11,5
Skin darkening (Y/N),0.054192682711543226,12,5
PRG(ng/mL),0.016496404909499877,13,5
Waist(inch),-1.1934539012531826e+17,14,5
