Feature,Importance Score,Rank
TSH (mIU/L),60.0,1
Avg. F size (R) (mm),4.09074584709796,2
Hair loss(Y/N),2.9783882949474254,3
Weight (Kg),2.5396782260148547,4
Pregnant(Y/N),1.8856816849868734,5
BMI,1.7422295085313688,6
Skin darkening (Y/N),1.6870648139325957,7
BP _Systolic (mmHg),1.4784252845140473,8
Pulse rate(bpm) ,1.3407046212805789,9
Fast food (Y/N),1.1721458985945215,10
BP _Diastolic (mmHg),1.16020824338331,11
  I   beta-HCG(mIU/mL),1.1134161645846594,12
Marraige Status (Yrs),0.7406753665000078,13
Follicle No. (L),0.5211394153595683,14
Hip(inch),0.5039736014512157,15
FSH/LH,0.48746652434943305,16
No. of aborptions,0.4635367982127957,17
hair growth(Y/N),0.4546399822735409,18
FSH(mIU/mL),0.33367422383666745,19
Waist:Hip Ratio,0.24959802162086425,20
Cycle(R/I),0.24298642753614857,21
Follicle No. (R),0.19455214945191035,22
Blood Group,0.16701621684269288,23
 Age (yrs),0.15108827626857965,24
Height(Cm) ,0.09830291069061682,25
Weight gain(Y/N),0.09422667069758495,26
LH(mIU/mL),0.05121210342722397,27
Waist(inch),0.050771808808134256,28
Vit D3 (ng/mL),0.04583940591198197,29
RR (breaths/min),0.043197442231120466,30
Reg.Exercise(Y/N),0.013172471637328194,31
Cycle length(days),0.0045332298727101235,32
Pimples(Y/N),3.605813144647115e-05,33
