Feature,Importance Score,Rank
TSH (mIU/L),60.0,1
Avg. F size (R) (mm),4.09074584709796,2
Avg. F size (L) (mm),4.070831587019597,3
Hair loss(Y/N),2.9783882949474254,4
Weight (Kg),2.5396782260148547,5
BMI,1.7422295085313688,6
Skin darkening (Y/N),1.6870648139325957,7
Pulse rate(bpm) ,1.3407046212805789,8
Fast food (Y/N),1.1721458985945215,9
  I   beta-HCG(mIU/mL),1.1134161645846594,10
Marraige Status (Yrs),0.7406753665000078,11
Follicle No. (L),0.5211394153595683,12
Hip(inch),0.5039736014512157,13
FSH/LH,0.48746652434943305,14
RBS(mg/dl),0.47466732336234035,15
No. of aborptions,0.4635367982127957,16
hair growth(Y/N),0.4546399822735409,17
FSH(mIU/mL),0.33367422383666745,18
Cycle(R/I),0.24298642753614857,19
PRG(ng/mL),0.233272883559782,20
Follicle No. (R),0.19455214945191035,21
 Age (yrs),0.15108827626857965,22
PRL(ng/mL),0.1341284503513949,23
Height(Cm) ,0.09830291069061682,24
Weight gain(Y/N),0.09422667069758495,25
LH(mIU/mL),0.05121210342722397,26
Waist(inch),0.050771808808134256,27
Vit D3 (ng/mL),0.04583940591198197,28
RR (breaths/min),0.04319744223112078,29
Endometrium (mm),0.01425893507655135,30
Reg.Exercise(Y/N),0.013172471637328194,31
Cycle length(days),0.0045332298727101235,32
Pimples(Y/N),3.605813144647115e-05,33
