Feature,Importance Score,Rank
Marraige Status (Yrs),35.036469778222724,1
 Age (yrs),27.62287667793688,2
Weight gain(Y/N),7.444353032463343,3
Weight (Kg),4.757748850225923,4
Pimples(Y/N),3.6820828079039534,5
Hip(inch),3.380388918618531,6
Follicle No. (R),3.3317179726210693,7
Waist(inch),2.9232230729650253,8
Fast food (Y/N),2.6810204245547378,9
BMI,2.647430029566382,10
Endometrium (mm),2.4021256487570586,11
PRL(ng/mL),2.173447856435844,12
  I   beta-HCG(mIU/mL),1.8126682381293422,13
Follicle No. (L),1.7973083068479638,14
Cycle(R/I),1.7834664926938713,15
Avg. F size (L) (mm),1.7564518691109867,16
hair growth(Y/N),0.7750679521122561,17
PRG(ng/mL),0.3079203603963391,18
LH(mIU/mL),0.19093557655362106,19
FSH(mIU/mL),0.1774689478820265,20
Vit D3 (ng/mL),0.13017278422396278,21
RBS(mg/dl),0.09305775930323859,22
FSH/LH,0.08407667562371665,23
Hair loss(Y/N),0.04211098341141881,24
RR (breaths/min),0.02230887105907718,25
Skin darkening (Y/N),0.013591929798948348,26
Cycle length(days),0.00858824427729218,27
No. of aborptions,-3.034300248940877e+17,28
